"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","shall","must","will","nation","peopl","can","less","everi","effort","nation"
"2","world","spirit","work","endur","upon","help","men","generat","lie","old"
"3","may","new","today","day","common","govern","now","face","restor","thing"
"4","seek","courag","demand","great","need","must","life","prosper","money","world"
"5","measur","american","new","come","good","task","america","still","hand","respect"
"6","meet","take","way","let","know","use","year","just","profit","part"
"7","power","hour","care","remain","leadership","mani","women","today","dark","first"
"8","emerg","moment","state","time","disciplin","act","stand","peopl","public","action"
"9","war","job","action","end","time","land","oath","small","valu","put"
"10","congress","met","line","ask","chang","product","histori","give","fals","trade"
"11","one","faith","support","word","forward","grow","earth","market","question","way"
"12","duti","find","plenti","never","without","whether","across","return","true","order"
"13","america","crisi","right","countri","essenti","accomplish","father","futur","place","polici"
"14","constitut","advanc","health","fear","practic","direct","mind","ideal","success","make"
"15","stricken","peac","begin","gift","vision","frank","toil","long","high","recoveri"
"16","fail","rather","feed","better","aim","mean","water","freedom","longer","neighbor"
"17","requir","greater","road","promis","progress","say","challeng","common","polit","import"
"18","balanc","carri","defens","god","dedic","industri","settl","protect","wealth","home"
"19","instrument","friend","bold","equal","pledg","believ","path","purpos","belief","guid"
"20","now","let","leav","nobl","truth","natur","travel","man","leadership","last"
